F2_19R01BAH_R1,1,LAT,M,S,,,,,,,,,4
F2_19R01BAH_R1,2,GHI,M,S,,,,,,,,,1
F2_19R01BAH_R1,3,SET,M,S,,,,,,,,,8
F2_19R01BAH_R1,4,HUB,M,S,,,,,,,,,11
F2_19R01BAH_R1,5,DEL,M,S,,,,,,,,,2
F2_19R01BAH_R1,6,DEV,M,S,,,,,,,,,3
F2_19R01BAH_R1,7,AIT,M,S,,,,,,,,,5
F2_19R01BAH_R1,8,SCH,M,S,,,,,,,,,10
F2_19R01BAH_R1,9,MAT,M,S,,,,,,,,,6
F2_19R01BAH_R1,10,ZHO,M,S,,,,,,,,,17
F2_19R01BAH_R1,11,BOS,M,S,,,,,,,,,9
F2_19R01BAH_R1,12,ALE,M,S,,,,,,,,,15
F2_19R01BAH_R1,13,CAL,M,S,,,,,,,,,19
F2_19R01BAH_R1,14,ILO,M,S,,,,,,,,,18
F2_19R01BAH_R1,15,BOC,M,S,,,,,,,,,16
F2_19R01BAH_R1,16,COR,M,S,,,,,,,,,12
F2_19R01BAH_R1,17,KIN,M,S,,,,,,,,,14
F2_19R01BAH_R1,18,RAG,M,S,,,,,,,,,20
F2_19R01BAH_R1,19,MAZ,M,S,,,,,,,,,13
F2_19R01BAH_R1,20,GEL,M,,,,,,,,,,7
F2_19R01BAH_R2,21,GHI,M,S,,,,,,,,,7
F2_19R01BAH_R2,22,SET,M,,,,,,,,,,6
F2_19R01BAH_R2,23,LAT,M,,,,,,,,,,8
F2_19R01BAH_R2,24,ZHO,M,,,,,,,,,,10
F2_19R01BAH_R2,25,DEL,M,,,,,,,,,,4
F2_19R01BAH_R2,26,SCH,M,,,,,,,,,,1
F2_19R01BAH_R2,27,DEV,M,S,,,,,,,,,3
F2_19R01BAH_R2,28,KIN,M,S,,,,,,,,,17
F2_19R01BAH_R2,29,HUB,M,S,,,,,,,,,17
F2_19R01BAH_R2,30,GEL,S,S,,,,,,,,,20
F2_19R01BAH_R2,31,AIT,M,,,,,,,,,,2
F2_19R01BAH_R2,32,MAT,M,S,,,,,,,,,9
F2_19R01BAH_R2,33,MAZ,M,S,,,,,,,,,19
F2_19R01BAH_R2,34,BOS,M,,,,,,,,,,11
F2_19R01BAH_R2,35,CAL,M,,,,,,,,,,13
F2_19R01BAH_R2,36,ILO,M,,,,,,,,,,14
F2_19R01BAH_R2,37,BOC,M,S,,,,,,,,,15
F2_19R01BAH_R2,38,ALE,M,S,,,,,,,,,12
F2_19R01BAH_R2,39,COR,M,,,,,,,,,,16
F2_19R01BAH_R2,40,RAG,M,,,,,,,,,,18
F2_19R02BAK_R1,41,AIT,SS,M,,,,,,,,,8
F2_19R02BAK_R1,42,DEV,SS,M,,,,,,,,,2
F2_19R02BAK_R1,43,KIN,SS,M,,,,,,,,,5
F2_19R02BAK_R1,44,LAT,SS,M,,,,,,,,,7
F2_19R02BAK_R1,45,BOC,SS,M,,,,,,,,,16
F2_19R02BAK_R1,46,GHI,SS,M,SS,,,,,,,,3
F2_19R02BAK_R1,47,GEL,SS,M,,,,,,,,,19
F2_19R02BAK_R1,48,COR,SS,M,,,,,,,,,17
F2_19R02BAK_R1,49,MAZ,SS,M,,,,,,,,,15
F2_19R02BAK_R1,50,HUB,SS,M,,,,,,,,,9
F2_19R02BAK_R1,51,RAG,SS,M,,,,,,,,,20
F2_19R02BAK_R1,52,BOS,SS,M,,,,,,,,,10
F2_19R02BAK_R1,53,MAT,SS,SS,M,M,,,,,,,1
F2_19R02BAK_R1,54,SET,SS,M,,,,,,,,,4
F2_19R02BAK_R1,55,DEL,SS,M,,,,,,,,,12
F2_19R02BAK_R1,56,ILO,SS,SS,M,,,,,,,,11
F2_19R02BAK_R1,57,CAL,M,,,,,,,,,,18
F2_19R02BAK_R1,58,ZHO,SS,M,,,,,,,,,13
F2_19R02BAK_R1,59,SCH,SS,M,,,,,,,,,6
F2_19R02BAK_R2,60,LAT,M,,,,,,,,,,4
F2_19R02BAK_R2,61,COR,M,,,,,,,,,,2
F2_19R02BAK_R2,62,AIT,M,,,,,,,,,,8
F2_19R02BAK_R2,63,DEV,M,,,,,,,,,,7
F2_19R02BAK_R2,64,SCH,M,,,,,,,,,,19
F2_19R02BAK_R2,65,SET,M,,,,,,,,,,14
F2_19R02BAK_R2,66,BOC,M,,,,,,,,,,6
F2_19R02BAK_R2,67,GEL,M,,,,,,,,,,3
F2_19R02BAK_R2,68,ILO,M,,,,,,,,,,16
F2_19R02BAK_R2,69,ZHO,M,,,,,,,,,,18
F2_19R02BAK_R2,70,HUB,M,,,,,,,,,,10
F2_19R02BAK_R2,71,MAT,M,,,,,,,,,,13
F2_19R02BAK_R2,72,RAG,M,,,,,,,,,,11
F2_19R02BAK_R2,73,GHI,M,,,,,,,,,,9
F2_19R02BAK_R2,74,KIN,M,,,,,,,,,,5
F2_19R02BAK_R2,75,MAZ,M,,,,,,,,,,1
F2_19R02BAK_R2,76,ALE,M,,,,,,,,,,20
F2_19R03BCN_R1,77,LAT,S,H,,,,,,,,,2
F2_19R03BCN_R1,78,AIT,S,H,,,,,,,,,8
F2_19R03BCN_R1,79,ZHO,S,H,,,,,,,,,3
F2_19R03BCN_R1,80,GHI,S,H,,,,,,,,,1
F2_19R03BCN_R1,81,DEV,S,H,,,,,,,,,4
F2_19R03BCN_R1,82,HUB,H,S,,,,,,,,,15
F2_19R03BCN_R1,83,KIN,H,S,,,,,,,,,16
F2_19R03BCN_R1,84,ILO,S,H,,,,,,,,,5
F2_19R03BCN_R1,85,GEL,S,H,,,,,,,,,13
